### Module positions - created on 2025-05-16 23:31
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J1030         Conn_01x01          single_pin                    152.4000   -68.5800   152.4000   -68.5800      0.0    top       SMD
J1029         Conn_01x01          single_pin                    152.4000   -65.8800   152.4000   -65.8800      0.0    top       SMD
J1028         Conn_01x01          single_pin                    152.4000   -63.1800   152.4000   -63.1800      0.0    top       SMD
J1027         Conn_01x01          single_pin                    152.4000   -60.4800   152.4000   -60.4800      0.0    top       SMD
J1026         Conn_01x01          single_pin                    152.4000   -57.7800   152.4000   -57.7800      0.0    top       SMD
J1025         Conn_01x01          single_pin                    152.4000   -55.0800   152.4000   -55.0800      0.0    top       SMD
J1024         Conn_01x01          single_pin                    152.4000   -52.3800   152.4000   -52.3800      0.0    top       SMD
J1023         Conn_01x01          single_pin                    152.4000   -49.6800   152.4000   -49.6800      0.0    top       SMD
J1022         Conn_01x01          single_pin                    152.4000   -46.9800   152.4000   -46.9800      0.0    top       SMD
J1021         Conn_01x01          single_pin                    152.4000   -44.2800   152.4000   -44.2800      0.0    top       SMD
J1020         Conn_01x01          single_pin                    149.7000   -68.5800   149.7000   -68.5800      0.0    top       SMD
J1019         Conn_01x01          single_pin                    149.7000   -65.8800   149.7000   -65.8800      0.0    top       SMD
J1018         Conn_01x01          single_pin                    149.7000   -63.1800   149.7000   -63.1800      0.0    top       SMD
J1017         Conn_01x01          single_pin                    149.7000   -60.4800   149.7000   -60.4800      0.0    top       SMD
J1016         Conn_01x01          single_pin                    149.7000   -57.7800   149.7000   -57.7800      0.0    top       SMD
J1015         Conn_01x01          single_pin                    149.7000   -55.0800   149.7000   -55.0800      0.0    top       SMD
J1014         Conn_01x01          single_pin                    149.7000   -52.3800   149.7000   -52.3800      0.0    top       SMD
J1013         Conn_01x01          single_pin                    149.7000   -49.6800   149.7000   -49.6800      0.0    top       SMD
J1012         Conn_01x01          single_pin                    149.7000   -46.9800   149.7000   -46.9800      0.0    top       SMD
J1011         Conn_01x01          single_pin                    149.7000   -44.2800   149.7000   -44.2800      0.0    top       SMD
J1010         Conn_01x01          single_pin                    147.0000   -68.5800   147.0000   -68.5800      0.0    top       SMD
J1009         Conn_01x01          single_pin                    147.0000   -65.8800   147.0000   -65.8800      0.0    top       SMD
J1008         Conn_01x01          single_pin                    147.0000   -63.1800   147.0000   -63.1800      0.0    top       SMD
J1007         Conn_01x01          single_pin                    147.0000   -60.4800   147.0000   -60.4800      0.0    top       SMD
J1006         Conn_01x01          single_pin                    147.0000   -57.7800   147.0000   -57.7800      0.0    top       SMD
J1005         Conn_01x01          single_pin                    147.0000   -55.0800   147.0000   -55.0800      0.0    top       SMD
J1004         Conn_01x01          single_pin                    147.0000   -52.3800   147.0000   -52.3800      0.0    top       SMD
J1003         Conn_01x01          single_pin                    147.0000   -49.6800   147.0000   -49.6800      0.0    top       SMD
J1002         Conn_01x01          single_pin                    147.0000   -46.9800   147.0000   -46.9800      0.0    top       SMD
J1001         Conn_01x01          single_pin                    147.0000   -44.2800   147.0000   -44.2800      0.0    top       SMD
J1000         Conn_01x01          single_pin                    144.3000   -68.5800   144.3000   -68.5800      0.0    top       SMD
J999          Conn_01x01          single_pin                    144.3000   -65.8800   144.3000   -65.8800      0.0    top       SMD
J998          Conn_01x01          single_pin                    144.3000   -63.1800   144.3000   -63.1800      0.0    top       SMD
J997          Conn_01x01          single_pin                    144.3000   -60.4800   144.3000   -60.4800      0.0    top       SMD
J996          Conn_01x01          single_pin                    144.3000   -57.7800   144.3000   -57.7800      0.0    top       SMD
J995          Conn_01x01          single_pin                    144.3000   -55.0800   144.3000   -55.0800      0.0    top       SMD
J994          Conn_01x01          single_pin                    144.3000   -52.3800   144.3000   -52.3800      0.0    top       SMD
J993          Conn_01x01          single_pin                    144.3000   -49.6800   144.3000   -49.6800      0.0    top       SMD
J992          Conn_01x01          single_pin                    144.3000   -46.9800   144.3000   -46.9800      0.0    top       SMD
J991          Conn_01x01          single_pin                    144.3000   -44.2800   144.3000   -44.2800      0.0    top       SMD
J990          Conn_01x01          single_pin                    141.6000   -68.5800   141.6000   -68.5800      0.0    top       SMD
J989          Conn_01x01          single_pin                    141.6000   -65.8800   141.6000   -65.8800      0.0    top       SMD
J988          Conn_01x01          single_pin                    141.6000   -63.1800   141.6000   -63.1800      0.0    top       SMD
J987          Conn_01x01          single_pin                    141.6000   -60.4800   141.6000   -60.4800      0.0    top       SMD
J986          Conn_01x01          single_pin                    141.6000   -57.7800   141.6000   -57.7800      0.0    top       SMD
J985          Conn_01x01          single_pin                    141.6000   -55.0800   141.6000   -55.0800      0.0    top       SMD
J984          Conn_01x01          single_pin                    141.6000   -52.3800   141.6000   -52.3800      0.0    top       SMD
J983          Conn_01x01          single_pin                    141.6000   -49.6800   141.6000   -49.6800      0.0    top       SMD
J982          Conn_01x01          single_pin                    141.6000   -46.9800   141.6000   -46.9800      0.0    top       SMD
J981          Conn_01x01          single_pin                    141.6000   -44.2800   141.6000   -44.2800      0.0    top       SMD
J980          Conn_01x01          single_pin                    138.9000   -68.5800   138.9000   -68.5800      0.0    top       SMD
J979          Conn_01x01          single_pin                    138.9000   -65.8800   138.9000   -65.8800      0.0    top       SMD
J978          Conn_01x01          single_pin                    138.9000   -63.1800   138.9000   -63.1800      0.0    top       SMD
J977          Conn_01x01          single_pin                    138.9000   -60.4800   138.9000   -60.4800      0.0    top       SMD
J976          Conn_01x01          single_pin                    138.9000   -57.7800   138.9000   -57.7800      0.0    top       SMD
J975          Conn_01x01          single_pin                    138.9000   -55.0800   138.9000   -55.0800      0.0    top       SMD
J974          Conn_01x01          single_pin                    138.9000   -52.3800   138.9000   -52.3800      0.0    top       SMD
